[2026-08-07 08:58:11,753] line no:15-root-INFO-Initiate the data ingestion.
[2026-08-07 08:58:16,496] line no:65-root-INFO-Performed train-test split on dataframe.
[2026-08-07 08:58:16,496] line no:66-root-INFO-Exited split_data_as_train_test method of Data Ingestion class.
[2026-08-07 08:58:16,506] line no:77-root-INFO-Exporting train and test file path.
[2026-08-07 08:58:16,602] line no:17-root-INFO-Data initiation completed successfully.
[2026-08-07 08:58:16,609] line no:21-root-INFO-Initiate the data validation.
[2026-08-07 08:58:16,637] line no:36-root-INFO-Required number of columns: 31
[2026-08-07 08:58:16,637] line no:37-root-INFO-Data frame has 31 columns.
[2026-08-07 08:58:16,637] line no:101-root-INFO-Train data contains all columns.

[2026-08-07 08:58:16,637] line no:36-root-INFO-Required number of columns: 31
[2026-08-07 08:58:16,637] line no:37-root-INFO-Data frame has 31 columns.
[2026-08-07 08:58:16,637] line no:104-root-INFO-Test data contains all columns.

[2026-08-07 08:58:16,639] line no:53-root-INFO-Missed columns: 0 | Type mismatches: 0
[2026-08-07 08:58:16,640] line no:109-root-INFO-Data types in train data are matched.

[2026-08-07 08:58:16,642] line no:53-root-INFO-Missed columns: 0 | Type mismatches: 0
[2026-08-07 08:58:16,642] line no:112-root-INFO-Data types in test data are matched.

[2026-08-07 08:58:16,757] line no:23-root-INFO-Data validation completed successfully.
